3-1;012;
3-2;013;
3-3;014;
3-4;015;
3-5;016;
3-6;024;
3-7;025;
3-8;026;
3-9;027;
3-10;036;
3-11;037;
3-12;048;
4-1;0123;
4-2;0124;
4-3;0134;
4-4;0125;
4-5;0126;
4-6;0127;
4-7;0145;
4-8;0156;
4-9;0167;
4-10;0235;
4-11;0135;
4-12;0236;
4-13;0136;
4-14;0237;
4-15;0146;z
4-16;0157;
4-17;0347;
4-18;0147;
4-19;0148;
4-20;0158;
4-21;0246;
4-22;0247;
4-23;0257;
4-24;0248;
4-25;0268;
4-26;0358;
4-27;0258;
4-28;0369;
4-29;0137;z
5-01;01234;
5-02;01235;
5-03;01245;
5-04;01236;
5-05;01237;
5-06;01256;
5-07;01267;
5-08;02346;
5-09;01246;
5-10;01346;
5-11;02347;
5-12;01356;z
5-13;01248;
5-14;01257;
5-15;01268;
5-16;01347;
5-17;01348;z
5-18;01457;z
5-19;01367;
5-20;01378;
5-21;01458;
5-22;01478;
5-23;02357;
5-24;01357;
5-25;02358;
5-26;02458;
5-27;01358;
5-28;02368;
5-29;01368;
5-30;01468;
5-31;01369;
5-32;01469;
5-33;02468;
5-34;02469;
5-35;02479;
5-36;01247;z
5-37;03458;z
5-38;01258;z
6-01;012345;
6-02;012346;
6-03;012356;z
6-04;012456;z
6-05;012367;
6-06;012567;z
6-07;012678;
6-08;023457;
6-09;012357;
6-10;013457;z
6-11;012457;z
6-12;012467;z
6-13;013467;z
6-14;013458;
6-15;012458;
6-16;014568;
6-17;012478;z
6-18;012578;
6-19;013478;z
6-20;014589;
6-21;023468;
6-22;012468;
6-23;023568;z
6-24;013468;z
6-25;013568;z
6-26;013578;z
6-27;013469;
6-28;013569;z
6-29;013689;z
6-30;013679;
6-31;013589;
6-32;024579;
6-33;023579;
6-34;013579;
6-35;02468A;
6-36;012347;z
6-37;012348;z
6-38;012378;z
6-39;023458;z
6-40;012358;z
6-41;012368;z
6-42;012369;z
6-43;012568;z
6-44;012569;z
6-45;023469;z
6-46;012469;z
6-47;012479;z
6-48;012579;z
6-49;013479;z
6-50;014679;z
7-01;0123456;
7-02;0123457;
7-03;0123458;
7-04;0123467;
7-05;0123567;
7-06;0123478;
7-07;0123678;
7-08;0234568;
7-09;0123468;
7-10;0123469;
7-11;0134568;
7-12;0123479;z
7-13;0124568;
7-14;0123578;
7-15;0124678;
7-16;0123569;
7-17;0124569;z
7-18;0123589;z
7-19;0123679;
7-20;0124789;
7-21;0124589;
7-22;0125689;
7-23;0234579;
7-24;0123579;
7-25;0234679;
7-26;0134579;
7-27;0124579;
7-28;0135679;
7-29;0124679;
7-30;0124689;
7-31;0134679;
7-32;0134689;
7-33;012468A;
7-34;013468A;
7-35;013568A;
7-36;0123568;z
7-37;0134578;z
7-38;0124578;z
8-01;01234567;
8-02;01234568;
8-03;01234569;
8-04;01234578;
8-05;01234678;
8-06;01235678;
8-07;01234589;
8-08;01234789;
8-09;01236789;
8-10;02345679;
8-11;01234579;
8-12;01345679;
8-13;01234679;
8-14;01245679;
8-15;01234689;z
8-16;01235789;
8-17;01345689;
8-18;01235689;
8-19;01245689;
8-20;01245789;
8-21;0123468A;
8-22;0123568A;
8-23;0123578A;
8-24;0124568A;
8-25;0124678A;
8-26;0124579A;
8-27;0124578A;
8-28;0134679A;
8-29;01235679;z
9-01;012345678;
9-02;012345679;
9-03;012345689;
9-04;012345789;
9-05;012346789;
9-06;01234568A;
9-07;01234578A;
9-08;01234678A;
9-09;01235678A;
9-10;01234679A;
9-11;01235679A;
9-12;01245689A;
