();;[000000]
(0);;[000000]
(0,1);;[100000]
(0,2);;[010000]
(0,3);;[001000]
(0,4);;[000100]
(0,5);;[000010]
(0,6);;[000001]
(0,1,2);3-1;[210000]
(0,1,3);3-2;[111000]
(0,1,4);3-3;[101100]
(0,1,5);3-4;[100110]
(0,1,6);3-5;[100011]
(0,2,4);3-6;[020100]
(0,2,5);3-7;[011010]
(0,2,6);3-8;[010101]
(0,2,7);3-9;[010020]
(0,3,6);3-10;[002001]
(0,3,7);3-11;[001110]
(0,4,8);3-12;[000300]
(0,1,2,3);4-1;[321000]
(0,1,2,4);4-2;[221100]
(0,1,2,5);4-4;[211110]
(0,1,2,6);4-5;[210111]
(0,1,2,7);4-6;[210021]
(0,1,3,4);4-3;[212100]
(0,1,3,5);4-11;[121110]
(0,1,3,6);4-13;[112011]
(0,1,3,7);4-Z29;[111111]
(0,1,4,5);4-7;[201210]
(0,1,4,6);4-Z15;[111111]
(0,1,4,7);4-18;[102111]
(0,1,4,8);4-19;[101310]
(0,1,5,6);4-8;[200121]
(0,1,5,7);4-16;[110121]
(0,1,5,8);4-20;[101220]
(0,1,6,7);4-9;[200022]
(0,2,3,5);4-10;[122010]
(0,2,3,6);4-12;[112101]
(0,2,3,7);4-14;[111120]
(0,2,4,6);4-21;[030201]
(0,2,4,7);4-22;[021120]
(0,2,4,8);4-24;[020301]
(0,2,5,7);4-23;[021030]
(0,2,5,8);4-27;[012111]
(0,2,6,8);4-25;[020202]
(0,3,4,7);4-17;[102210]
(0,3,5,8);4-26;[012120]
(0,3,6,9);4-28;[004002]
(0,1,2,3,4);5-1;[432100]
(0,1,2,3,5);5-2;[332110]
(0,1,2,3,6);5-4;[322111]
(0,1,2,3,7);5-5;[321121]
(0,1,2,4,5);5-3;[322210]
(0,1,2,4,6);5-9;[231211]
(0,1,2,4,7);5-Z36;[222121]
(0,1,2,4,8);5-13;[221311]
(0,1,2,5,6);5-6;[311221]
(0,1,2,5,7);5-14;[221131]
(0,1,2,5,8);5-Z38;[212221]
(0,1,2,6,7);5-7;[310132]
(0,1,2,6,8);5-15;[220222]
(0,1,3,4,6);5-10;[223111]
(0,1,3,4,7);5-16;[213211]
(0,1,3,4,8);5-Z17;[212320]
(0,1,3,5,6);5-Z12;[222121]
(0,1,3,5,7);5-24;[131221]
(0,1,3,5,8);5-27;[122230]
(0,1,3,6,7);5-19;[212122]
(0,1,3,6,8);5-29;[122131]
(0,1,3,6,9);5-31;[114112]
(0,1,4,5,7);5-Z18;[212221]
(0,1,4,5,8);5-21;[202420]
(0,1,4,6,8);5-30;[121321]
(0,1,4,6,9);5-32;[113221]
(0,1,4,7,8);5-22;[202321]
(0,1,5,6,8);5-20;[211231]
(0,2,3,4,6);5-8;[232201]
(0,2,3,4,7);5-11;[222220]
(0,2,3,5,7);5-23;[132130]
(0,2,3,5,8);5-25;[123121]
(0,2,3,6,8);5-28;[122212]
(0,2,4,5,8);5-26;[122311]
(0,2,4,6,8);5-33;[040402]
(0,2,4,6,9);5-34;[032221]
(0,2,4,7,9);5-35;[032140]
(0,3,4,5,8);5-Z37;[212320]
(0,1,2,3,4,5);6-1;[543210]
(0,1,2,3,4,6);6-2;[443211]
(0,1,2,3,4,7);6-Z36;[433221]
(0,1,2,3,4,8);6-Z37;[432321]
(0,1,2,3,5,6);6-Z3;[433221]
(0,1,2,3,5,7);6-9;[342231]
(0,1,2,3,5,8);6-Z40;[333231]
(0,1,2,3,6,7);6-5;[422232]
(0,1,2,3,6,8);6-Z41;[332232]
(0,1,2,3,6,9);6-Z42;[324222]
(0,1,2,3,7,8);6-Z38;[421242]
(0,1,2,4,5,6);6-Z4;[432321]
(0,1,2,4,5,7);6-Z11;[333231]
(0,1,2,4,5,8);6-15;[323421]
(0,1,2,4,6,7);6-Z12;[332232]
(0,1,2,4,6,8);6-22;[241422]
(0,1,2,4,6,9);6-Z46;[233331]
(0,1,2,4,7,8);6-Z17;[322332]
(0,1,2,4,7,9);6-Z47;[233241]
(0,1,2,5,6,7);6-Z6;[421242]
(0,1,2,5,6,8);6-Z43;[322332]
(0,1,2,5,6,9);6-Z44;[313431]
(0,1,2,5,7,8);6-18;[322242]
(0,1,2,5,7,9);6-Z48;[232341]
(0,1,2,6,7,8);6-7;[420243]
(0,1,3,4,5,7);6-Z10;[333321]
(0,1,3,4,5,8);6-14;[323430]
(0,1,3,4,6,7);6-Z13;[324222]
(0,1,3,4,6,8);6-Z24;[233331]
(0,1,3,4,6,9);6-27;[225222]
(0,1,3,4,7,8);6-Z19;[313431]
(0,1,3,4,7,9);6-Z49;[224322]
(0,1,3,5,6,8);6-Z25;[233241]
(0,1,3,5,6,9);6-Z28;[224322]
(0,1,3,5,7,8);6-Z26;[232341]
(0,1,3,5,7,9);6-34;[142422]
(0,1,3,6,7,9);6-30;[224223]
(0,1,4,5,6,8);6-16;[322431]
(0,1,4,5,7,9);6-31;[223431]
(0,1,4,5,8,9);6-20;[303630]
(0,1,4,6,7,9);6-Z50;[224232]
(0,2,3,4,5,7);6-8;[343230]
(0,2,3,4,5,8);6-Z39;[333321]
(0,2,3,4,6,8);6-21;[242412]
(0,2,3,4,6,9);6-Z45;[234222]
(0,2,3,5,6,8);6-Z23;[234222]
(0,2,3,5,7,9);6-33;[143241]
(0,2,3,6,7,9);6-Z29;[224232]
(0,2,4,5,7,9);6-32;[143250]
(0,2,4,6,8,A);6-35;[060603]
(0,1,2,3,4,5,6);7-1;[654321]
(0,1,2,3,4,5,7);7-2;[554331]
(0,1,2,3,4,5,8);7-3;[544431]
(0,1,2,3,4,6,7);7-4;[544332]
(0,1,2,3,4,6,8);7-9;[453432]
(0,1,2,3,4,6,9);7-10;[445332]
(0,1,2,3,4,7,8);7-6;[533442]
(0,1,2,3,4,7,9);7-Z12;[444342]
(0,1,2,3,5,6,7);7-5;[543342]
(0,1,2,3,5,6,8);7-Z36;[444342]
(0,1,2,3,5,6,9);7-16;[435432]
(0,1,2,3,5,7,8);7-14;[443352]
(0,1,2,3,5,7,9);7-24;[353442]
(0,1,2,3,6,7,8);7-7;[532353]
(0,1,2,3,6,7,9);7-19;[434343]
(0,1,2,4,5,6,8);7-13;[443532]
(0,1,2,4,5,6,9);7-Z17;[434541]
(0,1,2,4,5,7,8);7-Z38;[434442]
(0,1,2,4,5,7,9);7-27;[344451]
(0,1,2,4,5,8,9);7-21;[424641]
(0,1,2,4,6,7,8);7-15;[442443]
(0,1,2,4,6,7,9);7-29;[344352]
(0,1,2,4,6,8,A);7-33;[262623]
(0,1,2,4,6,8,9);7-30;[343542]
(0,1,2,5,6,7,9);7-20;[433452]
(0,1,2,5,6,8,9);7-22;[424542]
(0,1,3,4,5,6,8);7-11;[444441]
(0,1,3,4,5,7,8);7-Z37;[434541]
(0,1,3,4,5,7,9);7-26;[344532]
(0,1,3,4,6,7,9);7-31;[336333]
(0,1,3,4,6,8,A);7-34;[254442]
(0,1,3,4,6,8,9);7-32;[335442]
(0,1,3,5,6,7,9);7-28;[344433]
(0,1,3,5,6,8,A);7-35;[254361]
(0,1,4,5,6,7,9);7-Z18;[434442]
(0,2,3,4,5,6,8);7-8;[454422]
(0,2,3,4,5,7,9);7-23;[354351]
(0,2,3,4,6,7,9);7-25;[345342]
(0,1,2,3,4,5,6,7);8-1;[765442]
(0,1,2,3,4,5,6,8);8-2;[665542]
(0,1,2,3,4,5,6,9);8-3;[656542]
(0,1,2,3,4,5,7,8);8-4;[655552]
(0,1,2,3,4,5,7,9);8-11;[565552]
(0,1,2,3,4,5,8,9);8-7;[645652]
(0,1,2,3,4,6,7,8);8-5;[654553]
(0,1,2,3,4,6,7,9);8-13;[556453]
(0,1,2,3,4,6,8,A);8-21;[474643]
(0,1,2,3,4,6,8,9);8-Z15;[555553]
(0,1,2,3,4,7,8,9);8-8;[644563]
(0,1,2,3,5,6,7,8);8-6;[654463]
(0,1,2,3,5,6,7,9);8-Z29;[555553]
(0,1,2,3,5,6,8,A);8-22;[465562]
(0,1,2,3,5,6,8,9);8-18;[546553]
(0,1,2,3,5,7,8,A);8-23;[465472]
(0,1,2,3,5,7,8,9);8-16;[554563]
(0,1,2,3,6,7,8,9);8-9;[644464]
(0,1,2,4,5,6,7,9);8-14;[555562]
(0,1,2,4,5,6,8,A);8-24;[464743]
